Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
Free Calcium,Time since donors previous donation,16755,4.3794775E-02,4.4428075E-01
NT-ProBNP,Storage time,66,4.6865888E-02,4.4673774E-01
pH,Age of Donor,16976,4.6588517E-02,4.4673774E-01
PaCO2,Age of Donor,14554,5.1928374E-02,4.6499499E-01
Base Excess,Storage time,7815,5.1912598E-02,4.6499499E-01
Erythrocyte count,Donor born outside of Sweden,4297,5.0746316E-02,4.6499499E-01
Methemoglobin,Donor Hb,12928,5.1324135E-02,4.6499499E-01
Mean corpuscular volume,Donor Hb,4240,5.7160556E-02,4.9679248E-01
Lactate,Donor born outside of Sweden,15981,5.6410623E-02,4.9679248E-01
Carbon Dioxide,Storage time,591,6.0356374E-02,5.1696546E-01
Myelocyte count,Weekday of donation,19,6.5870936E-02,5.3775203E-01
NT-ProBNP,Donors prior number of donations,66,6.7305371E-02,5.3775203E-01
Osmolality,Storage time,5628,6.6266317E-02,5.3775203E-01
Mean corpuscular hemoglobin concentrati,Age of Donor,2693,6.7963818E-02,5.3775203E-01
Hemoglobin,Age of Donor,32620,6.8242643E-02,5.3775203E-01
NT-ProBNP,Time since donors previous donation,66,6.7471064E-02,5.3775203E-01
Potassium,Donor sex,19662,7.2176923E-02,5.5398132E-01
Lactate dehydrogenase,Time since donors previous donation,432,7.2017671E-02,5.5398132E-01
Haptoglobin,Donor Hb,73,8.3258759E-02,5.7106608E-01
Chloride,Donor born outside of Sweden,16540,8.0404731E-02,5.7106608E-01
Conjugated bilirubin,Donor Hb,350,8.0756113E-02,5.7106608E-01
Eosinophile count,Donor born outside of Sweden,112,8.5998106E-02,5.7106608E-01
Methemoglobin,Time since donors previous donation,13096,8.4783136E-02,5.7106608E-01
Troponin T,Time of donation,1755,8.4567226E-02,5.7106608E-01
NT-ProBNP,Weekday of donation,66,7.7915119E-02,5.7106608E-01
pH,Weekday of donation,16979,8.0935543E-02,5.7106608E-01
HbA1c,Time of donation,134,8.4371267E-02,5.7106608E-01
CO-Hb,Age of Donor,12139,8.5072060E-02,5.7106608E-01
Conjugated bilirubin,Donor Hb,350,8.0756113E-02,5.7106608E-01
Eosinophile count,Donor born outside of Sweden,112,8.5998106E-02,5.7106608E-01
NT-ProBNP,Donor born outside of Sweden,66,9.4033695E-02,6.0039792E-01
INR,Donors prior number of donations,5874,9.5494763E-02,6.0039792E-01
Triglycerides,Time since donors previous donation,29,9.2202849E-02,6.0039792E-01
NT-ProBNP,Donor born outside of Sweden,66,9.4033695E-02,6.0039792E-01
INR,Donors prior number of donations,5874,9.5494763E-02,6.0039792E-01
Triglycerides,Weekday of donation,29,1.0206520E-01,6.2447328E-01
Iron,Weekday of donation,76,1.0249392E-01,6.2447328E-01
Free Calcium,Donors prior number of donations,16755,1.0214859E-01,6.2447328E-01
Chloride,Donor Hb,16362,1.0557657E-01,6.3669133E-01
Osmolality,Age of Donor,5630,1.0925751E-01,6.3931869E-01
Eosinophile count,Donor born outside of Sweden,112,1.0793600E-01,6.3931869E-01
INR,Donors prior number of donations,5874,1.0852795E-01,6.3931869E-01
pH,Donors prior number of donations,16984,1.1478819E-01,6.4208009E-01
Standard bicarbonate,Donor born outside of Sweden,16763,1.1624800E-01,6.4208009E-01
pH,Donors prior number of donations,16984,1.1478819E-01,6.4208009E-01
Eosinophile count,Donor Hb,110,1.1355870E-01,6.4208009E-01
Standard bicarbonate,Donor born outside of Sweden,16763,1.1624800E-01,6.4208009E-01
Standard bicarbonate,Donor born outside of Sweden,16763,1.1624800E-01,6.4208009E-01
PaCO2,Storage time,14540,1.1850058E-01,6.4846149E-01
Glucose,Storage time,31828,1.2756839E-01,6.5818376E-01
Mean corpuscular hemoglobin,Time of donation,4318,1.3698241E-01,6.5818376E-01
Mean corpuscular hemoglobin,Time of donation,4318,1.3698241E-01,6.5818376E-01
PaO2,Weekday of donation,14542,1.3627113E-01,6.5818376E-01
Standard bicarbonate,Age of Donor,16757,1.2922486E-01,6.5818376E-01
Eosinophile count,Age of Donor,112,1.2726187E-01,6.5818376E-01
Monocyte count,Weekday of donation,112,1.2232076E-01,6.5818376E-01
Transferrin,Storage time,12,1.2929113E-01,6.5818376E-01
Fibrinogen,Storage time,4105,1.2422382E-01,6.5818376E-01
Mean corpuscular hemoglobin,Donor Hb,4261,1.2798826E-01,6.5818376E-01
Osmolality,Time of donation,5615,1.3280913E-01,6.5818376E-01
CRP,Time since donors previous donation,2494,1.3652952E-01,6.5818376E-01
Glutamyl transferase,Donor sex,494,1.2511819E-01,6.5818376E-01
INR,Donor sex,5870,1.3101517E-01,6.5818376E-01
Conjugated bilirubin,Weekday of donation,353,1.3273470E-01,6.5818376E-01
Bilirubin,Donor Hb,2327,1.4271568E-01,6.5922376E-01
Hemoglobin,Time of donation,32548,1.4120870E-01,6.5922376E-01
Chloride,Storage time,16519,1.4325889E-01,6.5922376E-01
Mean corpuscular volume,Donor born outside of Sweden,4306,1.4389148E-01,6.5922376E-01
Mean corpuscular hemoglobin,Age of Donor,4327,1.4176936E-01,6.5922376E-01
Mean corpuscular volume,Donor born outside of Sweden,4306,1.4389148E-01,6.5922376E-01
Methemoglobin,Time of donation,13059,1.4541491E-01,6.6107854E-01
PaCO2,Donor sex,14554,1.4780814E-01,6.6682910E-01
Calcium,Donor sex,657,1.6500295E-01,6.9654816E-01
Basophiles,Time of donation,112,1.6464196E-01,6.9654816E-01
Standard bicarbonate,Donor born outside of Sweden,16763,1.6459841E-01,6.9654816E-01
Glutamyl transferase,Time of donation,493,1.6128457E-01,6.9654816E-01
Hemoglobin,Donor born outside of Sweden,32641,1.5942952E-01,6.9654816E-01
Neutrophile count,Donor Hb,573,1.5963260E-01,6.9654816E-01
Neutrophile count,Donor Hb,573,1.5963260E-01,6.9654816E-01
Standard bicarbonate,Donor born outside of Sweden,16763,1.6459841E-01,6.9654816E-01
Albumin,Donor sex,1395,1.6633318E-01,6.9718376E-01
Calcium,Donor Hb,649,1.7567902E-01,6.9798181E-01
eGFR,Weekday of donation,375,1.7005157E-01,6.9798181E-01
Lymphocyte count,Donor born outside of Sweden,110,1.7465480E-01,6.9798181E-01
ALP,Weekday of donation,412,1.7904820E-01,6.9798181E-01
Troponin I,Storage time,312,1.7951478E-01,6.9798181E-01
NT-ProBNP,Donor born outside of Sweden,66,1.7168689E-01,6.9798181E-01
Creatinine,Storage time,4252,1.7312783E-01,6.9798181E-01
Neutrophile count,Storage time,585,1.7678491E-01,6.9798181E-01
Glucose,Donor Hb,31535,1.7886180E-01,6.9798181E-01
Mean corpuscular volume,Donor born outside of Sweden,4306,1.7824975E-01,6.9798181E-01
Neutrophile count,Time of donation,586,1.7425395E-01,6.9798181E-01
Free Calcium,Donor born outside of Sweden,16755,1.8836613E-01,7.1107472E-01
PaCO2,Donor Hb,14413,1.8813940E-01,7.1107472E-01
Standard bicarbonate,Storage time,16741,1.8639486E-01,7.1107472E-01
Conjugated bilirubin,Donor sex,353,1.8889802E-01,7.1107472E-01
Iron,Donors prior number of donations,76,1.8698460E-01,7.1107472E-01
Potassium,Age of Donor,19661,1.9036219E-01,7.1205097E-01
Albumin,Age of Donor,1395,1.9618029E-01,7.2014007E-01
Osmolality,Donor sex,5630,1.9487408E-01,7.2014007E-01
Albumin,Age of Donor,1395,1.9618029E-01,7.2014007E-01
Lymphocyte count,Time since donors previous donation,110,2.0129279E-01,7.2539050E-01
Mean corpuscular hemoglobin,Time since donors previous donation,4328,1.9904146E-01,7.2539050E-01
Lymphocyte count,Time since donors previous donation,110,2.0129279E-01,7.2539050E-01
Albumin,Age of Donor,1395,2.1542094E-01,7.3083180E-01
Mean corpuscular hemoglobin,Time of donation,4318,2.0557347E-01,7.3083180E-01
pH,Donors prior number of donations,16984,2.0676294E-01,7.3083180E-01
pH,Time of donation,16944,2.1324009E-01,7.3083180E-01
Neutrophile count,Storage time,585,2.1764196E-01,7.3083180E-01
Standard bicarbonate,Time of donation,16723,2.0824658E-01,7.3083180E-01
Neutrophile count,Storage time,585,2.1764196E-01,7.3083180E-01
Metamyelocyte count,Donor Hb,21,2.1444277E-01,7.3083180E-01
Standard bicarbonate,Donor sex,16758,2.1122783E-01,7.3083180E-01
Neutrophile count,Time since donors previous donation,586,2.0646343E-01,7.3083180E-01
Bilirubin,Donors prior number of donations,2355,2.1550181E-01,7.3083180E-01
Base Excess,Time since donors previous donation,7823,2.1723936E-01,7.3083180E-01
Metamyelocyte count,Donor born outside of Sweden,21,2.1973813E-01,7.3370190E-01
Calcium,Donor born outside of Sweden,657,2.2440914E-01,7.4120390E-01
Leukocyte count,Donor sex,5704,2.2476688E-01,7.4120390E-01
Eosinophile count,Donor sex,112,2.2574738E-01,7.4120390E-01
Lactate,Age of Donor,15973,2.2850544E-01,7.4611446E-01
Glutamyl transferase,Donor Hb,488,2.3004345E-01,7.4700923E-01
INR,Donor Hb,5813,2.3400884E-01,7.4960194E-01
Troponin I,Donors prior number of donations,312,2.3464697E-01,7.4960194E-01
Creatinine,Time since donors previous donation,4258,2.3287165E-01,7.4960194E-01
Carbon Dioxide,Donor Hb,592,2.4167107E-01,7.6600368E-01
PaO2,Donor Hb,14399,2.4237342E-01,7.6600368E-01
Lymphocyte count,Time since donors previous donation,110,2.4778990E-01,7.7483507E-01
Osmolality,Donor born outside of Sweden,5630,2.4705238E-01,7.7483507E-01
Transferrin,Donor Hb,12,2.4987201E-01,7.7723346E-01
Eosinophile count,Donors prior number of donations,112,2.5669253E-01,7.8603775E-01
INR,Storage time,5864,2.5485776E-01,7.8603775E-01
Transferrin,Age of Donor,12,2.5659689E-01,7.8603775E-01
Lactate,Donor sex,15974,2.5898058E-01,7.8895629E-01
Potassium,Donor Hb,19460,2.6231197E-01,7.9282908E-01
Platelet count,Storage time,8511,2.6293486E-01,7.9282908E-01
Calcium,Storage time,655,2.6854252E-01,8.0562757E-01
Glucose,Age of Donor,31859,2.7668485E-01,8.2586236E-01
Mean corpuscular volume,Donor sex,4305,2.7834630E-01,8.2664655E-01
Metamyelocyte count,Donor sex,21,2.8145060E-01,8.3168651E-01
Haptoglobin,Donor sex,75,2.8759796E-01,8.4562384E-01
CRP,Storage time,2491,2.9254238E-01,8.4595924E-01
INR,Donor born outside of Sweden,5874,2.9204463E-01,8.4595924E-01
INR,Donor born outside of Sweden,5874,2.9204463E-01,8.4595924E-01
eGFR,Time of donation,375,2.9343764E-01,8.4595924E-01
ALP,Donor sex,412,3.0006590E-01,8.6086868E-01
PaO2,Donors prior number of donations,14547,3.0491555E-01,8.7055599E-01
Free Calcium,Donor Hb,16573,3.1504466E-01,8.7734352E-01
Transferrin,Time since donors previous donation,12,3.1192515E-01,8.7734352E-01
NT-ProBNP,Donor sex,66,3.2155395E-01,8.7734352E-01
Reticulocyte count,Storage time,37,3.2185598E-01,8.7734352E-01
HbA1c,Weekday of donation,134,3.1197384E-01,8.7734352E-01
Metamyelocyte count,Age of Donor,21,3.3367267E-01,8.7734352E-01
CO-Hb,Donor sex,12140,3.3401403E-01,8.7734352E-01
Free Calcium,Age of Donor,16747,3.3019403E-01,8.7734352E-01
NT-ProBNP,Donor sex,66,3.2155395E-01,8.7734352E-01
AST,Age of Donor,1115,3.1937775E-01,8.7734352E-01
ALP,Age of Donor,412,3.2757473E-01,8.7734352E-01
ALP,Age of Donor,412,3.2757473E-01,8.7734352E-01
Erythrocyte count,Donor Hb,4231,3.2414716E-01,8.7734352E-01
ALP,Age of Donor,412,3.3290330E-01,8.7734352E-01
Haptoglobin,Time since donors previous donation,75,3.2372345E-01,8.7734352E-01
Fibrinogen,Donors prior number of donations,4114,3.3350704E-01,8.7734352E-01
Glucose,Time of donation,31787,3.2583399E-01,8.7734352E-01
AST,Time since donors previous donation,1115,3.2267762E-01,8.7734352E-01
Ferritin,Donors prior number of donations,91,3.3686788E-01,8.7908768E-01
Erythrocyte count,Time of donation,4287,3.4493767E-01,8.7908768E-01
Fibrinogen,Time since donors previous donation,4114,3.4103082E-01,8.7908768E-01
CRP,Donor sex,2494,3.3929191E-01,8.7908768E-01
PaCO2,Donor born outside of Sweden,14559,3.4343677E-01,8.7908768E-01
pH,Donor Hb,16803,3.4509026E-01,8.7908768E-01
PaO2,Time since donors previous donation,14547,3.3881660E-01,8.7908768E-01
Fibrinogen,Donor born outside of Sweden,4114,3.5798795E-01,8.8913951E-01
Glucose,Time since donors previous donation,31878,3.5542583E-01,8.8913951E-01
Ferritin,Time of donation,90,3.6001097E-01,8.8913951E-01
INR,Donor born outside of Sweden,5874,3.5058736E-01,8.8913951E-01
Iron,Time since donors previous donation,76,3.6087948E-01,8.8913951E-01
eGFR,Donor born outside of Sweden,375,3.6107188E-01,8.8913951E-01
Myelocyte count,Donor sex,19,3.5970579E-01,8.8913951E-01
Calcium,Age of Donor,657,3.5725008E-01,8.8913951E-01
Myelocyte count,Donors prior number of donations,19,3.8115055E-01,8.9270955E-01
Transferrin,Time of donation,12,3.9678966E-01,8.9270955E-01
AST,Donor born outside of Sweden,1115,3.9996776E-01,8.9270955E-01
Neutrophile count,Weekday of donation,586,4.0465039E-01,8.9270955E-01
AST,Donor born outside of Sweden,1115,3.9996776E-01,8.9270955E-01
Troponin I,Age of Donor,312,4.0046302E-01,8.9270955E-01
Sodium,Donors prior number of donations,19456,4.0061446E-01,8.9270955E-01
Sodium,Time since donors previous donation,19456,3.8351764E-01,8.9270955E-01
ALP,Donor born outside of Sweden,412,3.9966411E-01,8.9270955E-01
Haptoglobin,Weekday of donation,75,3.8005520E-01,8.9270955E-01
aPTT,Weekday of donation,6608,4.0481584E-01,8.9270955E-01
aPTT,Weekday of donation,6608,4.0481584E-01,8.9270955E-01
Monocyte count,Age of Donor,112,3.8932059E-01,8.9270955E-01
Transferrin,Donors prior number of donations,12,4.0361408E-01,8.9270955E-01
Potassium,Donor born outside of Sweden,19671,3.8917917E-01,8.9270955E-01
eGFR,Storage time,372,3.9533512E-01,8.9270955E-01
Standard bicarbonate,Donor Hb,16586,3.7547609E-01,8.9270955E-01
Glutamyl transferase,Age of Donor,494,3.6559701E-01,8.9270955E-01
ALP,Storage time,412,3.9121826E-01,8.9270955E-01
Iron,Age of Donor,76,3.7530985E-01,8.9270955E-01
ALP,Time since donors previous donation,412,4.0313490E-01,8.9270955E-01
eGFR,Age of Donor,375,4.0033936E-01,8.9270955E-01
Carbon Dioxide,Age of Donor,593,3.9383925E-01,8.9270955E-01
Ferritin,Donor sex,91,3.9837602E-01,8.9270955E-01
Platelet count,Time since donors previous donation,8526,3.7123708E-01,8.9270955E-01
ALT,Age of Donor,1248,4.0380259E-01,8.9270955E-01
Basophiles,Donor sex,112,3.9593126E-01,8.9270955E-01
Ferritin,Donor born outside of Sweden,91,3.9941280E-01,8.9270955E-01
AST,Donors prior number of donations,1115,4.0738502E-01,8.9489189E-01
Transferrin,Donor sex,12,4.0883386E-01,8.9489189E-01
Free Calcium,Time of donation,16716,4.1327207E-01,8.9795513E-01
Lactate,Donor Hb,15804,4.1252855E-01,8.9795513E-01
Conjugated bilirubin,Donor born outside of Sweden,353,4.2340532E-01,9.0043041E-01
Lymphocyte count,Time of donation,110,4.3274169E-01,9.0043041E-01
Carbon Dioxide,Donors prior number of donations,593,4.4238270E-01,9.0043041E-01
Carbon Dioxide,Donors prior number of donations,593,4.4238270E-01,9.0043041E-01
Basophiles,Donor Hb,110,4.4241251E-01,9.0043041E-01
Conjugated bilirubin,Donor born outside of Sweden,353,4.2340532E-01,9.0043041E-01
Carbon Dioxide,Weekday of donation,593,4.2112093E-01,9.0043041E-01
Conjugated bilirubin,Donor born outside of Sweden,353,4.3406944E-01,9.0043041E-01
aPTT,Weekday of donation,6608,4.1980127E-01,9.0043041E-01
Triglycerides,Storage time,29,4.3366762E-01,9.0043041E-01
pH,Storage time,16962,4.2695106E-01,9.0043041E-01
Calcium,Time of donation,655,4.4346988E-01,9.0043041E-01
Conjugated bilirubin,Time of donation,353,4.3471469E-01,9.0043041E-01
Conjugated bilirubin,Donor born outside of Sweden,353,4.2340532E-01,9.0043041E-01
Base Excess,Donor born outside of Sweden,7823,4.4488271E-01,9.0043041E-01
Methemoglobin,Donor sex,13090,4.4384679E-01,9.0043041E-01
Carbon Dioxide,Donors prior number of donations,593,4.3931171E-01,9.0043041E-01
Conjugated bilirubin,Donor born outside of Sweden,353,4.3406944E-01,9.0043041E-01
NT-ProBNP,Time of donation,66,4.3843717E-01,9.0043041E-01
Triglycerides,Donor sex,29,4.4718117E-01,9.0199341E-01
Troponin I,Donor Hb,312,4.4937266E-01,9.0333076E-01
Reticulocyte count,Donor sex,37,4.5195674E-01,9.0544555E-01
Chloride,Time of donation,16502,4.5894818E-01,9.1634586E-01
Monocyte count,Storage time,112,4.6211383E-01,9.1955985E-01
Platelet count,Donor born outside of Sweden,8526,4.6655948E-01,9.2529078E-01
Eosinophile count,Weekday of donation,112,4.7120130E-01,9.3137114E-01
Platelet count,Donors prior number of donations,8526,4.7953177E-01,9.3258747E-01
HbA1c,Donors prior number of donations,134,5.0022961E-01,9.3258747E-01
ALT,Donor Hb,1231,5.0179834E-01,9.3258747E-01
ALT,Donor Hb,1231,5.0179834E-01,9.3258747E-01
Fibrinogen,Time of donation,4097,4.9619472E-01,9.3258747E-01
CO-Hb,Weekday of donation,12143,4.8676524E-01,9.3258747E-01
Base Excess,Weekday of donation,7822,5.0116071E-01,9.3258747E-01
Monocyte count,Storage time,112,4.8918096E-01,9.3258747E-01
Monocyte count,Storage time,112,4.8918096E-01,9.3258747E-01
HbA1c,Age of Donor,134,4.9332525E-01,9.3258747E-01
Ferritin,Age of Donor,91,4.9383817E-01,9.3258747E-01
ALT,Donor born outside of Sweden,1248,4.8621461E-01,9.3258747E-01
NT-ProBNP,Donor sex,66,4.9975573E-01,9.3258747E-01
Triglycerides,Donor born outside of Sweden,29,4.8154483E-01,9.3258747E-01
Monocyte count,Donor sex,112,4.9979394E-01,9.3258747E-01
Fibrinogen,Time of donation,4097,4.9619472E-01,9.3258747E-01
CRP,Donors prior number of donations,2494,4.7379757E-01,9.3258747E-01
Erythrocyte count,Donor sex,4296,4.8435165E-01,9.3258747E-01
Calcium,Time since donors previous donation,657,4.8322343E-01,9.3258747E-01
CO-Hb,Donors prior number of donations,12145,5.0613375E-01,9.3769608E-01
AST,Donor born outside of Sweden,1115,5.0796924E-01,9.3815569E-01
Methemoglobin,Donors prior number of donations,13096,5.4877237E-01,9.4555126E-01
Lymphocyte count,Donors prior number of donations,110,5.3472412E-01,9.4555126E-01
Albumin,Donors prior number of donations,1395,5.5095131E-01,9.4555126E-01
aPTT,Donor Hb,6551,5.5018253E-01,9.4555126E-01
Creatinine,Weekday of donation,4256,5.5598824E-01,9.4555126E-01
Potassium,Weekday of donation,19665,5.4237416E-01,9.4555126E-01
PaO2,Age of Donor,14541,5.2761168E-01,9.4555126E-01
PaO2,Age of Donor,14541,5.5677130E-01,9.4555126E-01
Fibrinogen,Time of donation,4097,5.3376062E-01,9.4555126E-01
Glucose,Weekday of donation,31867,5.1357694E-01,9.4555126E-01
Basophiles,Weekday of donation,112,5.2823870E-01,9.4555126E-01
CO-Hb,Time of donation,12110,5.4706693E-01,9.4555126E-01
Glutamyl transferase,Storage time,494,5.3438844E-01,9.4555126E-01
Haptoglobin,Age of Donor,75,5.5337458E-01,9.4555126E-01
Haptoglobin,Age of Donor,75,5.5337458E-01,9.4555126E-01
ALT,Time of donation,1246,5.2860143E-01,9.4555126E-01
Troponin I,Donor born outside of Sweden,312,5.5667998E-01,9.4555126E-01
Troponin I,Donor born outside of Sweden,312,5.5667998E-01,9.4555126E-01
CRP,Age of Donor,2494,5.2099519E-01,9.4555126E-01
PaO2,Age of Donor,14541,5.2761168E-01,9.4555126E-01
Carbon Dioxide,Donor sex,593,5.3582172E-01,9.4555126E-01
pH,Time since donors previous donation,16984,5.1559044E-01,9.4555126E-01
Base Excess,Donor sex,7821,5.1693746E-01,9.4555126E-01
AST,Donor sex,1115,5.4598857E-01,9.4555126E-01
Erythrocyte count,Time since donors previous donation,4297,5.5360667E-01,9.4555126E-01
Carbon Dioxide,Time since donors previous donation,593,5.5103736E-01,9.4555126E-01
CO-Hb,Time since donors previous donation,12145,5.4130874E-01,9.4555126E-01
Carbon Dioxide,Time since donors previous donation,593,5.5103736E-01,9.4555126E-01
PaCO2,Donors prior number of donations,14559,5.7203904E-01,9.4609645E-01
Neutrophile count,Donors prior number of donations,586,6.1530097E-01,9.4609645E-01
Monocyte count,Donors prior number of donations,112,6.0600643E-01,9.4609645E-01
Leukocyte count,Donor Hb,5626,5.7453707E-01,9.4609645E-01
Neutrophile count,Donor born outside of Sweden,586,5.8274380E-01,9.4609645E-01
Creatinine,Donors prior number of donations,4258,5.6010959E-01,9.4609645E-01
Glutamyl transferase,Donors prior number of donations,494,6.0924243E-01,9.4609645E-01
Chloride,Donors prior number of donations,16540,6.0814398E-01,9.4609645E-01
Troponin I,Weekday of donation,312,5.9999378E-01,9.4609645E-01
INR,Time of donation,5849,5.7483190E-01,9.4609645E-01
INR,Time of donation,5849,5.7483190E-01,9.4609645E-01
Haptoglobin,Time of donation,75,5.8316386E-01,9.4609645E-01
Triglycerides,Age of Donor,29,6.1353135E-01,9.4609645E-01
Bilirubin,Weekday of donation,2355,5.9674845E-01,9.4609645E-01
Lactate dehydrogenase,Donors prior number of donations,432,6.0840691E-01,9.4609645E-01
Bilirubin,Time of donation,2352,5.7987196E-01,9.4609645E-01
Leukocyte count,Storage time,5695,5.9714236E-01,9.4609645E-01
Eosinophile count,Storage time,112,5.8729398E-01,9.4609645E-01
ALP,Time of donation,411,6.1011097E-01,9.4609645E-01
CRP,Donor Hb,2467,5.6670658E-01,9.4609645E-01
Troponin T,Donor born outside of Sweden,1761,5.9419679E-01,9.4609645E-01
Fibrinogen,Age of Donor,4112,6.1317890E-01,9.4609645E-01
Erythrocyte count,Age of Donor,4296,6.1632341E-01,9.4609645E-01
Platelet count,Donor sex,8521,6.1359215E-01,9.4609645E-01
PaO2,Donor sex,14541,5.7918200E-01,9.4609645E-01
Troponin I,Donor born outside of Sweden,312,5.9213788E-01,9.4609645E-01
pH,Donor sex,16977,6.0361724E-01,9.4609645E-01
Lymphocyte count,Donor sex,110,5.9697455E-01,9.4609645E-01
Lactate dehydrogenase,Donor sex,432,6.0341126E-01,9.4609645E-01
aPTT,Time since donors previous donation,6609,5.8384618E-01,9.4609645E-01
Free Calcium,Donor sex,16748,5.9865047E-01,9.4609645E-01
Metamyelocyte count,Time since donors previous donation,21,5.7262048E-01,9.4609645E-01
HbA1c,Time since donors previous donation,134,5.8375785E-01,9.4609645E-01
Bilirubin,Donor sex,2355,6.0068967E-01,9.4609645E-01
Chloride,Time since donors previous donation,16540,5.6291490E-01,9.4609645E-01
aPTT,Time since donors previous donation,6609,5.8384618E-01,9.4609645E-01
aPTT,Time since donors previous donation,6609,5.8689154E-01,9.4609645E-01
PaO2,Donor born outside of Sweden,14547,6.2380815E-01,9.5018200E-01
Carbon Dioxide,Time since donors previous donation,593,6.2161435E-01,9.5018200E-01
Myelocyte count,Donor Hb,19,6.2358711E-01,9.5018200E-01
ALP,Donor Hb,408,6.2732755E-01,9.5308633E-01
Erythrocyte count,Weekday of donation,4296,6.2923541E-01,9.5353366E-01
